TICKER,date,PRC,RET,VOL,SHROUT
MSFT,2015-02-03,41.6,0.007752,52115448,8203.785
MSFT,2015-02-04,41.84,0.005769,39814812,8203.785
MSFT,2015-02-05,42.45,0.014579,36548168,8203.785
MSFT,2015-02-06,42.41,-0.000942,34616550,8203.785
MSFT,2015-02-09,42.36,-0.001179,31401061,8203.785
MSFT,2015-02-10,42.6,0.005666,29670687,8203.785
MSFT,2015-02-11,42.38,-0.005164,38263386,8203.785
MSFT,2015-02-12,43.09,0.016753,33268831,8203.785
MSFT,2015-02-13,43.87,0.018102,41915104,8203.785
MSFT,2015-02-17,43.58,0.000456,33695749,8203.785
MSFT,2015-02-18,43.53,-0.001147,27111657,8203.785
MSFT,2015-02-19,43.5,-0.000689,27650420,8203.785
MSFT,2015-02-20,43.855,0.008161,29721733,8203.785
MSFT,2015-02-23,44.15,0.006727,32518754,8203.785
MSFT,2015-02-24,44.09,-0.001359,25271747,8203.785
MSFT,2015-02-25,43.99,-0.002268,29759820,8203.785
MSFT,2015-02-26,44.055,0.001478,28957329,8203.785
MSFT,2015-02-27,43.85,-0.004653,33807740,8203.785
MSFT,2015-03-02,43.88,0.000684,31924049,8203.785
MSFT,2015-03-03,43.28,-0.013674,31748648,8203.785
MSFT,2015-03-04,43.055,-0.005199,25748692,8203.785
MSFT,2015-03-05,43.11,0.001277,23193541,8203.785
MSFT,2015-03-06,42.36,-0.017397,36249015,8203.785
MSFT,2015-03-09,42.85,0.011567,32107964,8203.785
MSFT,2015-03-10,42.03,-0.019137,39159743,8203.785
MSFT,2015-03-11,41.98,-0.00119,32215323,8203.785
MSFT,2015-03-12,41.02,-0.022868,59990718,8203.785
MSFT,2015-03-13,41.38,0.008776,58007714,8203.785
MSFT,2015-03-16,41.56,0.00435,35273484,8203.785
MSFT,2015-03-17,41.695,0.003248,31673648,8203.785
MSFT,2015-03-18,42.5,0.019307,44194782,8203.785
MSFT,2015-03-19,42.285,-0.005059,33879509,8203.785
MSFT,2015-03-20,42.88,0.014071,71904546,8203.785
MSFT,2015-03-23,42.855,-0.000583,26246099,8203.785
MSFT,2015-03-24,42.9,0.00105,25513266,8203.785
MSFT,2015-03-25,41.46,-0.033566,43469917,8203.785
MSFT,2015-03-26,41.21,-0.00603,37495635,8203.785
MSFT,2015-03-27,40.97,-0.005824,34401409,8203.785
MSFT,2015-03-30,40.96,-0.000244,35049672,8203.785
MSFT,2015-03-31,40.655,-0.007446,34887219,8113
MSFT,2015-04-01,40.72,0.001599,36865335,8113
MSFT,2015-04-02,40.29,-0.01056,37487487,8113
MSFT,2015-04-06,41.545,0.031149,39223703,8113
MSFT,2015-04-07,41.53,-0.000361,28809388,8113
MSFT,2015-04-08,41.42,-0.002649,24753446,8113
MSFT,2015-04-09,41.48,0.001449,25723871,8113
MSFT,2015-04-10,41.72,0.005786,28022013,8113
MSFT,2015-04-13,41.76,0.000959,30276703,8113
MSFT,2015-04-14,41.65,-0.002634,24244889,8113
MSFT,2015-04-15,42.255,0.014526,27344592,8113
MSFT,2015-04-16,42.16,-0.002248,22509664,8089.575
MSFT,2015-04-17,41.615,-0.012927,42387779,8089.575
MSFT,2015-04-20,42.905,0.030998,46057830,8089.575
MSFT,2015-04-21,42.635,-0.006293,26013851,8089.575
MSFT,2015-04-22,42.985,0.008209,25064283,8089.575
MSFT,2015-04-23,43.34,0.008259,46359542,8089.575
MSFT,2015-04-24,47.87,0.104522,130936118,8089.575
MSFT,2015-04-27,48.03,0.003342,59248192,8089.575
MSFT,2015-04-28,49.155,0.023423,60730792,8089.575
MSFT,2015-04-29,49.06,-0.001933,47804562,8089.575
MSFT,2015-04-30,48.64,-0.008561,64725657,8089.575
MSFT,2015-05-01,48.655,0.000308,39012551,8089.575
MSFT,2015-05-04,48.24,-0.008529,34039495,8089.575
MSFT,2015-05-05,47.6,-0.013267,50369197,8089.575
MSFT,2015-05-06,46.28,-0.027731,52433033,8089.575
MSFT,2015-05-07,46.7,0.009075,32971665,8089.575
MSFT,2015-05-08,47.75,0.022484,35364924,8089.575
MSFT,2015-05-11,47.37,-0.007958,24609428,8089.575
MSFT,2015-05-12,47.35,-0.000422,29928275,8089.575
MSFT,2015-05-13,47.625,0.005808,34184623,8089.575
MSFT,2015-05-14,48.72,0.022992,32980892,8089.575
MSFT,2015-05-15,48.295,-0.008723,28642700,8089.575
MSFT,2015-05-18,48.01,-0.005901,24136508,8089.575
MSFT,2015-05-19,47.58,-0.002499,28574820,8089.575
MSFT,2015-05-20,47.58,0,25047920,8089.575
MSFT,2015-05-21,47.42,-0.003363,22410822,8089.575
MSFT,2015-05-22,46.9,-0.010966,25724597,8089.575
MSFT,2015-05-26,46.59,-0.00661,29581868,8089.575
MSFT,2015-05-27,47.61,0.021893,27335654,8089.575
MSFT,2015-05-28,47.45,-0.003361,19283672,8089.575
MSFT,2015-05-29,46.86,-0.012434,36523700,8089.575
MSFT,2015-06-01,47.23,0.007896,28837332,8089.575
MSFT,2015-06-02,46.92,-0.006564,21519406,8089.575
MSFT,2015-06-03,46.85,-0.001492,28002162,8089.575
MSFT,2015-06-04,46.36,-0.010459,27745542,8089.575
MSFT,2015-06-05,46.14,-0.004745,25438093,8089.575
MSFT,2015-06-08,45.73,-0.008886,22121638,8089.575
MSFT,2015-06-09,45.65,-0.001749,24406957,8089.575
MSFT,2015-06-10,46.61,0.02103,28417642,8089.575
MSFT,2015-06-11,46.44,-0.003647,27347762,8089.575
MSFT,2015-06-12,45.97,-0.010121,23930979,8089.575
MSFT,2015-06-15,45.475,-0.010768,33307359,8089.575
MSFT,2015-06-16,45.83,0.007807,27070319,8089.575
MSFT,2015-06-17,45.97,0.003055,28704069,8089.575
MSFT,2015-06-18,46.72,0.016315,32658921,8089.575
MSFT,2015-06-19,46.1,-0.013271,63837143,8089.575
MSFT,2015-06-22,46.23,0.00282,20318055,8089.575
MSFT,2015-06-23,45.91,-0.006922,25902481,8089.575
MSFT,2015-06-24,45.635,-0.00599,34890908,8089.575
MSFT,2015-06-25,45.65,0.000329,20616006,8089.575
MSFT,2015-06-26,45.26,-0.008543,49835297,8089.575
MSFT,2015-06-29,44.37,-0.019664,34081461,8089.575
MSFT,2015-06-30,44.15,-0.004958,35945398,8027
MSFT,2015-07-01,44.445,0.006682,28343918,8027
MSFT,2015-07-02,44.4,-0.001012,21752024,8027
MSFT,2015-07-06,44.39,-0.000225,23035468,8027
MSFT,2015-07-07,44.3,-0.002027,36435836,8027
MSFT,2015-07-08,44.24,-0.001354,39785909,8027
MSFT,2015-07-09,44.52,0.006329,32424678,8027
MSFT,2015-07-10,44.61,0.002022,25465767,8027
MSFT,2015-07-13,45.54,0.020847,28178529,8027
MSFT,2015-07-14,45.62,0.001757,22880260,8027
MSFT,2015-07-15,45.76,0.003069,26629615,8027
MSFT,2015-07-16,46.66,0.019668,26271673,8027
MSFT,2015-07-17,46.62,-0.000857,29467107,8027
MSFT,2015-07-20,46.92,0.006435,30631905,8027
MSFT,2015-07-21,47.28,0.007673,42781903,8027
