,Mkt-RF,SMB,HML,WML
196902,-5.84,-3.9,0.86,-2.46
196903,2.64,-0.26,-0.52,3.95
196904,1.46,-0.87,-0.03,1.17
196905,-0.1,-0.26,0.71,1.68
196906,-7.18,-5.39,-1.1,-2.23
196907,-7,-3.2,1.22,1.64
196908,4.68,0.93,-3.83,2.14
196909,-2.98,1.18,-3.27,2.53
196910,5.06,3.84,-3.04,-4.32
196911,-3.79,-2.54,-1.15,3.6
196912,-2.63,-3.65,-3,5.05
197001,-8.1,2.91,3.15,0.63
197002,5.13,-2.41,4.02,0.12
197003,-1.06,-2.32,4.09,-0.29
197004,-11,-6.09,6.21,-0.73
197005,-6.92,-4.54,3.43,-2.73
197006,-5.79,-2.14,0.6,5.78
197007,6.93,-0.55,1.01,-2.94
197008,4.49,1.53,1.02,-6.5
197009,4.18,8.56,-5.63,-8.92
197010,-2.28,-4.28,0.25,9.61
197011,4.6,-4.07,1.67,2.89
197012,5.72,3,0.86,-2.19
197101,4.84,7.37,1.33,-6.71
197102,1.41,1.86,-1.22,0.81
197103,4.13,2.5,-4.06,-1.21
197104,3.15,-0.5,0.71,1.32
197105,-3.98,-1.11,-1.48,0.89
197106,-0.1,-1.43,-1.82,2.72
197107,-4.5,-1.5,0.17,-2.37
197108,3.79,-0.18,2.56,3.51
197109,-0.85,0.43,-2.89,2.09
197110,-4.42,-1.8,-0.37,0.46
197111,-0.46,-2.8,-1.73,1.48
197112,8.71,3.29,-0.41,-0.68
197201,2.49,6.07,1.93,0.24
197202,2.87,1.4,-2.8,2.7
197203,0.63,-0.3,-1.68,2.91
197204,0.29,0.01,0.24,2.9
197205,1.25,-2.74,-2.73,3.18
197206,-2.43,0.34,-2.6,1.91
197207,-0.8,-2.86,0.71,2.74
197208,3.26,-4.07,4.64,-5.35
197209,-1.14,-2.67,0.51,1.76
197210,0.52,-2.72,1.3,0.76
197211,4.6,-1.12,4.82,-5.14
197212,0.62,-1.87,-2.24,4.98
197301,-3.29,-3.47,2.67,3.71
197302,-4.85,-3.99,1.71,2.12
197303,-1.3,-2.81,2.73,3.62
197304,-5.68,-3.96,5.62,6.41
197305,-2.94,-6.13,0.25,7.09
197306,-1.56,-2.93,1.37,4.32
197307,5.05,7.97,-5.32,-11.69
197308,-3.82,-2.12,1.32,3.42
197309,4.75,3.07,2.01,-7.03
197310,-0.83,-0.4,2.03,6.74
197311,-12.75,-7.65,3.91,8.63
197312,0.61,-5.25,3.9,10.39
197401,-0.17,9.66,5.99,-8.82
197402,-0.47,-0.13,2.86,0.14
197403,-2.81,2.59,-0.28,-0.99
197404,-5.29,-0.71,0.95,2
197405,-4.68,-3.03,-2.08,-0.26
197406,-2.83,-0.16,0.78,2.37
197407,-8.05,0.92,5.14,3.01
197408,-9.35,-0.68,2.5,3
197409,-11.77,0.27,5.49,4.32
197410,16.1,-3.51,-9.99,-0.5
197411,-4.51,-1.17,-0.16,2.18
197412,-3.45,-4.84,0,2.95
197501,13.66,11.01,8.44,-13.89
197502,5.56,0.16,-4.56,-0.55
197503,2.66,3.75,2.49,-1.99
197504,4.23,-0.54,-1.11,1.34
197505,5.19,3.83,-4.02,-0.47
197506,4.83,0.76,1.32,0.06
197507,-6.59,2.69,1.7,0.42
197508,-2.85,-3.2,-0.95,-0.13
197509,-4.26,-0.12,0.34,0.32
197510,5.31,-4.04,0.34,-0.14
197511,2.64,-1.19,1.96,-0.45
197512,-1.6,-0.75,1.74,-0.12
197601,12.16,4.82,8.65,4.46
197602,0.32,7.03,5.85,0.36
197603,2.32,-1.15,-0.08,0.19
197604,-1.49,-0.03,-0.14,0.5
197605,-1.34,-1.25,-1.3,-1.1
197606,4.05,-1.35,0.65,-0.43
197607,-1.07,0.29,1.69,-0.12
197608,-0.56,-2.02,0.81,-0.85
197609,2.07,0,-0.24,0.24
197610,-2.42,0.25,-0.15,-0.48
197611,0.36,2.32,1.51,2.9
197612,5.65,3,2.2,0.77
197701,-4.05,4.77,4.25,3.98
197702,-1.94,1.08,0.52,0.35
197703,-1.37,1,1.06,0.49
197704,0.15,-0.11,3.44,4.22
197705,-1.45,1.17,0.84,2.01
197706,4.71,2.14,-0.68,1.77
197707,-1.69,2.11,-0.6,0.31
197708,-1.75,1.52,-2.76,-1.78
197709,-0.27,1.45,-0.51,2.06
197710,-4.38,1.26,1.73,-0.13
197711,4,3.72,0.29,2.19
197712,0.27,1.35,-0.38,1.56
197801,-6.01,2.21,3.31,-0.72
197802,-1.38,3.59,0.71,1.9
197803,2.85,3.48,1.23,1.37
197804,7.88,0.41,-3.56,0.85
197805,1.76,4.56,-0.59,2.85
197806,-1.69,1.69,0.55,2.78
197807,5.11,0.26,-1.08,4.22
197808,3.75,5.06,-0.57,2.82
197809,-1.43,-0.4,1.87,-3.11
197810,-11.91,-9.88,1.4,-8.39
197811,2.71,3.01,-2.19,5.52
197812,0.88,1.25,-2.17,3.05
197901,4.23,3.66,2.29,-1.24
197902,-3.56,0.45,1.16,-1.06
197903,5.68,3.19,-0.69,2.88
197904,-0.06,2.18,1,0.81
197905,-2.21,0.16,1.3,-0.57
197906,3.85,1.17,1.45,0.82
197907,0.82,1.26,1.75,-1.09
197908,5.53,2.09,-1.52,-0.23
197909,-0.82,-0.25,-0.87,5.34
197910,-8.1,-3.35,-1.81,2.12
197911,5.21,2.76,-3.38,7.96
197912,1.79,4.19,-2.04,4.78
198001,5.51,1.65,1.72,7.51
198002,-1.22,-1.83,0.66,7.88
198003,-12.9,-6.65,-1.02,-9.59
198004,3.97,0.96,1.01,-0.42
198005,5.26,2.16,0.38,-1.11
198006,3.06,1.66,-0.85,1.59
198007,6.49,4.25,-6.29,0.37
198008,1.8,3.91,-2.64,3.19
198009,2.19,0.87,-4.77,5.44
198010,1.06,2.48,-2.77,7.32
198011,9.59,-3.46,-8.36,15.24
198012,-4.52,-0.27,2.73,-6.65
198101,-5.04,3.01,6.83,-7.94
198102,0.57,-0.32,1,-1.39
198103,3.56,3.58,0.69,0.73
198104,-2.11,4.42,2.29,-0.95
198105,0.11,2,-0.47,3.75
198106,-2.36,-0.83,5.1,-5.9
198107,-1.54,-2.18,-0.68,-2.52
198108,-7.04,-1.96,4.84,-1.12
198109,-7.17,-2.66,5.2,1.97
198110,4.92,2.14,-4.22,4.07
198111,3.36,-0.97,1.89,-0.26
198112,-3.65,1.17,0.75,1.32
198201,-3.24,-1.29,3.19,1.73
198202,-5.86,0.48,6.1,5
198203,-1.87,-0.2,3.79,2.93
198204,3.27,1.51,-2.77,-0.41
198205,-3.99,0.47,1.8,2.55
198206,-3.09,-0.4,1.54,5
198207,-3.19,0.82,0.12,4.47
198208,11.14,-4.09,1,-3.52
198209,1.29,2.89,0.33,4.17
198210,11.3,2.35,-3.73,0.03
198211,4.67,4.77,-1.89,5.89
198212,0.55,-0.19,-0.03,0.02
198301,3.6,2.7,-0.81,-1.7
198302,2.59,3.24,0.7,3.83
